Cat,Sex,Weight,95KDE,95MCP,50KDE,Rabbit
1,Female,2.47,3.727950726,3.898535449,0.26,Low
2,Male,2.29,207.7762851,265.8968915,28.91,Low
3,Male,4.9,166.2796419,163.4104157,37.92,High
4,Male,3.4,68.02834192,74.79086953,13.37,High
5,Male,2.97,52.26284772,63.93258105,8.07,Low
6,Male,3.97,165.5098047,154.7442739,36.33,Low
7,Female,2.97,155.2173157,176.8535131,35.05,Medium
8,Female,2.66,212.7025635,222.3833826,53.18,Low
9,Male,4.5,431.6560981,370.5683631,135.8,Low
10,Female,3.5,128.9221972,196.4265982,6.64,Medium
11,Male,4.85,166.1923364,172.9031761,44.97,High
12,Female,3,128.4118448,158.34704,12.43,High
13,Male,4.25,908.6026637,788.5091715,278.14,Medium
14,Female,2.28,187.8057349,185.2757729,30.1,Low
