GMT.Time,id,Latitude,Longitude,Altitude,Duration,Temperature,DOP,Satellites,Cause.of.Fix,angle,dist1,dist2
30/08/2020 3:20,11,-36.3420743,174.5062462,133.31,4,17,1.2,5,GPS Schedule,-85.40714677,18.25253629,13.26064788
30/08/2020 3:30,11,-36.3422375,174.5062208,78.32,7,17.5,3.4,4,GPS Schedule,158.5396356,5.530603503,17.0397689
30/08/2020 3:41,11,-36.3421892,174.5062056,95.73,70,19,1.6,4,GPS Schedule,31.74605384,12.08629587,2.046721454
30/08/2020 3:51,11,-36.3420853,174.506246,108.02,69,19,1.4,5,GPS Schedule,170.376619,12.24291512,33.70265013
30/08/2020 4:00,11,-36.3421946,174.5062274,108.41,4,17.5,1.4,5,GPS Schedule,70.9144305,27.65127803,23.92270607
30/08/2020 4:11,11,-36.3422432,174.5059253,99.4,62,19,1.8,6,GPS Schedule,179.744989,3.728614653,37.81374156
30/08/2020 4:20,11,-36.3422365,174.505966,107.16,15,18,2,5,GPS Schedule,-17.10210578,34.23409702,30.32627031
30/08/2020 4:30,11,-36.3420888,174.5063008,94,20,18,1.6,6,GPS Schedule,-136.2490825,5.775534499,82.58008937
30/08/2020 4:40,11,-36.3420752,174.5062387,124.74,34,18,2.6,5,GPS Schedule,-69.78192039,80.40606111,57.10609008
30/08/2020 4:50,11,-36.3426661,174.5057203,0.18,2,16,2.8,4,GPS Schedule,-141.7899865,91.24233465,95.63609171
30/08/2020 5:00,11,-36.3424336,174.5066952,60.55,70,18.5,4.2,4,GPS Schedule,96.1730776,40.09950272,51.60025587
30/08/2020 5:11,11,-36.3427892,174.5067747,0.18,70,19,4.6,3,GPS Schedule,159.9539587,87.406059,66.00818963
30/08/2020 5:21,11,-36.3421091,174.5062835,114.56,63,18.5,1.2,5,GPS Schedule,163.5626755,22.63440337,100.5572719
30/08/2020 5:30,11,-36.3422489,174.5064671,105.29,2,16.5,1.2,5,GPS Schedule,84.1452763,95.69512149,119.4088659
30/08/2020 5:40,11,-36.3429339,174.5058195,136.97,3,16,1.2,5,GPS Schedule,20.81768129,25.01543259,14.60255747
30/08/2020 5:50,11,-36.3430526,174.5055826,105.56,56,17,3,5,GPS Schedule,-144.5043407,21.86963957,16.79307464
30/08/2020 6:00,11,-36.3430654,174.5058257,128.94,17,16.5,2.4,5,GPS Schedule,154.3189227,5.84627586,111.6616603
30/08/2020 6:11,11,-36.3430851,174.5057653,112.48,70,18,4.4,4,GPS Schedule,-124.4925832,114.8683898,320.7274145
30/08/2020 6:31,11,-36.3436572,174.5068317,124.06,59,17,0.8,8,GPS Schedule,-4.459843857,206.0824328,234.9831984
30/08/2020 6:40,11,-36.3445601,174.5088378,136.37,1,14.5,1.6,5,GPS Schedule,46.27057648,39.31558073,29.77153529
30/08/2020 6:50,11,-36.3449029,174.5089485,136.98,3,14.5,1.2,6,GPS Schedule,-164.2834973,10.04413852,13.12418906
30/08/2020 7:00,11,-36.3448124,174.5089506,132.07,2,14.5,1.2,6,GPS Schedule,-17.41188889,3.191496988,2.687792258
30/08/2020 7:10,11,-36.3447848,174.5089406,131.17,34,16,1.2,6,GPS Schedule,138.0548734,0.73872085,26.66680269
30/08/2020 7:20,11,-36.3447883,174.5089476,152.58,1,14.5,1.4,5,GPS Schedule,83.70646569,26.57571159,14.33114063
30/08/2020 7:30,11,-36.3450046,174.5088205,126.7,1,15,2.6,5,GPS Schedule,-168.527196,12.72404856,2.987077665
30/08/2020 7:40,11,-36.3449129,174.5089056,127.03,1,14,3,5,GPS Schedule,-166.6792885,12.95453376,16.71520489
30/08/2020 7:50,11,-36.3449876,174.5087947,134.32,4,14,1.6,6,GPS Schedule,160.0883845,28.3025369,27.12045793
30/08/2020 8:00,11,-36.3447674,174.5089538,132.1,2,14.5,4.4,5,GPS Schedule,107.3482822,6.050451161,16.09803379
30/08/2020 8:10,11,-36.3448077,174.5089992,136.15,2,15,2,6,GPS Schedule,51.97148175,11.6489516,5.74678663
30/08/2020 8:20,11,-36.3449112,174.5089775,132.36,2,15,5,5,GPS Schedule,150.6256308,9.538044994,7.575334108
30/08/2020 8:30,11,-36.3448303,174.5089416,136.12,30,16.5,4.4,5,GPS Schedule,178.5747917,1.963475716,2.590374833
30/08/2020 8:40,11,-36.3448468,174.5089495,133.63,6,15.5,4,5,GPS Schedule,-164.2977447,4.425484864,2.734537058
30/08/2020 8:50,11,-36.3448071,174.5089448,137.93,5,16,3.6,4,GPS Schedule,-165.2817625,1.787582307,20.33869509
30/08/2020 9:00,11,-36.344823,174.5089416,135.52,34,18,1.4,6,GPS Schedule,176.9721286,22.12356267,50.7080124
30/08/2020 9:10,11,-36.3446248,174.5089683,150.23,1,16,2.4,5,GPS Schedule,155.8533973,70.08165052,161.8666709
