LID ,Cat, TYPE , CA , PLAND , NP , PD , LPI , TE , ED , LSI , AREA_MN , AREA_AM , AREA_MD , AREA_RA , AREA_SD , AREA_CV , GYRATE_MN , GYRATE_AM , GYRATE_MD , GYRATE_RA , GYRATE_SD , GYRATE_CV , SHAPE_MN , SHAPE_AM , SHAPE_MD , SHAPE_RA , SHAPE_SD , SHAPE_CV , FRAC_MN , FRAC_AM , FRAC_MD , FRAC_RA , FRAC_SD , FRAC_CV , PARA_MN , PARA_AM , PARA_MD , PARA_RA , PARA_SD , PARA_CV , CIRCLE_MN , CIRCLE_AM , CIRCLE_MD , CIRCLE_RA , CIRCLE_SD , CIRCLE_CV , CONTIG_MN , CONTIG_AM , CONTIG_MD , CONTIG_RA , CONTIG_SD , CONTIG_CV , PAFRAC , ENN_MN , ENN_AM , ENN_MD , ENN_RA , ENN_SD , ENN_CV , CLUMPY , PLADJ , IJI , COHESION , DIVISION , SPLIT , AI , NLSI
C:\Users\cnot1\OneDrive - The University of Auckland\PhD\Chapter 2 Resource Selection\Landscape Connectivity cats\Fragstat\Rasters\Cat1.tif ,1, cls_2 ,11.2775,77.8295,2,13.8026,77.6743,2255,155.6246,2.7778,5.6388,11.2326,5.6388,11.2325,5.6163,99.601,80.1038,153.3432,80.1038,147.0656,73.5328,91.7969,2.1056,2.7087,2.1056,1.2111,0.6056,28.7599,1.1611,1.1725,1.1611,0.0228,0.0114,0.9819,2162.5944,332.5205,2162.5944,3674.8112,1837.4056,84.963,0.5108,0.3593,0.5108,0.3043,0.1521,29.7857,0.7174,0.9523,0.7174,0.4718,0.2359,32.8817, N/A ,11.1803,11.1803,11.1803,0,0,0,0.8782,95.8435, N/A ,99.7853,0.3967,1.6575,97.2994,0.0919
C:\Users\cnot1\OneDrive - The University of Auckland\PhD\Chapter 2 Resource Selection\Landscape Connectivity cats\Fragstat\Rasters\Cat1.tif ,1, cls_1 ,3.2125,22.1705,6,41.4079,13.1815,2255,155.6246,3.5139,0.5354,1.2827,0.2738,1.83,0.6325,118.1392,27.516,45.9454,22.3939,49.1247,15.8275,57.521,1.53,1.7308,1.5771,0.7619,0.2769,18.0994,1.1088,1.1197,1.1158,0.1111,0.0423,3.8131,1241.4853,787.5486,1208.0173,1329.2918,518.2359,41.7432,0.5738,0.5342,0.5397,0.2444,0.0872,15.2027,0.82,0.887,0.8269,0.2065,0.0769,9.3838, N/A ,18.0803,21.0288,14.0139,32.4264,11.4645,63.4089,0.9069,90.1556, N/A ,95.6698,0.9804,50.9532,92.7542,0.0725
C:\Users\cnot1\OneDrive - The University of Auckland\PhD\Chapter 2 Resource Selection\Landscape Connectivity cats\Fragstat\Rasters\Cat2.tif ,2, cls_2 ,240.46,86.1108,7,2.5068,85.57,26000,93.1082,5.1932,34.3514,237.4545,0.1,238.9325,83.5277,243.1565,113.659,661.131,20.4669,659.7193,225.6134,198.5003,2.0514,4.9141,1.8095,3.9338,1.2232,59.6289,1.1456,1.217,1.1314,0.1688,0.0548,4.7821,2056.2852,134.1179,1879.5181,3872.1908,1275.0917,62.0095,0.6999,0.5456,0.7241,0.3214,0.121,17.2954,0.7115,0.981,0.7222,0.5235,0.1772,24.9125, N/A ,26.4168,14.1721,15.8114,48.5077,17.0716,64.624,0.9022,98.3235, N/A ,99.9583,0.2678,1.3657,98.642,0.0833
C:\Users\cnot1\OneDrive - The University of Auckland\PhD\Chapter 2 Resource Selection\Landscape Connectivity cats\Fragstat\Rasters\Cat2.tif ,2, cls_1 ,38.785,13.8892,45,16.1149,2.9007,26000,93.1082,11.26,0.8619,3.982,0.1775,8.09,1.6399,190.2647,43.4281,137.1572,27.8073,260.9498,51.9353,119.5892,1.8959,2.6989,1.6429,2.7347,0.7445,39.2684,1.1519,1.1811,1.1278,0.3111,0.079,6.8594,1973.1773,725.7961,1702.1277,4696.7509,1239.7453,62.8299,0.7177,0.7837,0.7174,0.5557,0.151,21.0455,0.7257,0.8977,0.7695,0.6212,0.1659,22.8658,1.3293,40.5188,42.7427,18.0278,386.6106,61.4944,151.7676,0.9032,90.9275, N/A ,96.954,0.998,504.9025,91.6661,0.0833
C:\Users\cnot1\OneDrive - The University of Auckland\PhD\Chapter 2 Resource Selection\Landscape Connectivity cats\Fragstat\Rasters\Cat3.tif ,3, cls_1 ,60.62,27.6567,58,26.4614,16.5441,27245,124.3,10.3237,1.0452,22.553,0.1175,36.2475,4.7412,453.6326,32.7104,221.3401,17.036,315.5295,46.4867,142.1158,1.7883,3.0984,1.6652,2.7727,0.6117,34.2063,1.147,1.1892,1.1439,0.3288,0.0626,5.4574,1952.2804,531.3428,1957.4468,4646.2139,927.0455,47.4853,0.6733,0.7512,0.6738,0.5544,0.1217,18.0806,0.7248,0.9247,0.7287,0.6138,0.1283,17.6986,1.338,26.5261,14.1373,15.4057,151.4001,26.6326,100.4017,0.9165,93.3582, N/A ,98.1964,0.9715,35.1408,93.9627,0.0604
C:\Users\cnot1\OneDrive - The University of Auckland\PhD\Chapter 2 Resource Selection\Landscape Connectivity cats\Fragstat\Rasters\Cat3.tif ,3, cls_2 ,158.5675,72.3433,6,2.7374,71.5883,27245,124.3,5.8968,26.4279,155.2815,0.3138,156.895,58.3552,220.809,106.3757,491.9126,27.6545,491.31,175.4223,164.9083,2.476,5.4622,2.0804,4.496,1.5271,61.6781,1.164,1.2385,1.1622,0.2471,0.0945,8.1156,1729.3763,187.4281,1326.3535,3252.7409,1227.72,70.9921,0.6192,0.3722,0.577,0.5549,0.1875,30.2865,0.7619,0.9736,0.8178,0.4752,0.169,22.1766, N/A ,30.8378,11.5781,28.2843,48.8197,17.6502,57.2355,0.9294,97.6571, N/A ,99.9093,0.4875,1.9512,98.0467,0.0506
C:\Users\cnot1\OneDrive - The University of Auckland\PhD\Chapter 2 Resource Selection\Landscape Connectivity cats\Fragstat\Rasters\Cat4.tif ,4, cls_1 ,12.6225,9.8544,38,29.6666,3.3219,13365,104.3407,9.7343,0.3322,2.026,0.085,4.2525,0.7501,225.8185,22.8633,72.0834,14.2947,125.8357,23.7029,103.672,1.6785,2.5506,1.4773,2.3784,0.5625,33.5092,1.135,1.191,1.1289,0.2736,0.0607,5.3522,2203.4333,1102.7926,2034.4828,7363.1022,1230.942,55.8647,0.6293,0.74,0.6395,0.8687,0.1604,25.4862,0.6933,0.8444,0.7061,0.9103,0.1569,22.6318,1.3859,41.0329,23.8362,19.0139,247.1478,48.7055,118.6985,0.8608,86.2151, N/A ,95.084,0.9984,641.5583,87.4535,0.1255
C:\Users\cnot1\OneDrive - The University of Auckland\PhD\Chapter 2 Resource Selection\Landscape Connectivity cats\Fragstat\Rasters\Cat4.tif ,4, cls_2 ,115.4675,90.1456,2,1.5614,89.8158,13365,104.3407,4.2977,57.7338,114.6256,57.7338,114.6225,57.3113,99.2682,227.7677,423.0405,227.7677,393.4246,196.7123,86.3653,2.8174,4.2014,2.8174,2.7886,1.3943,49.4889,1.1455,1.2059,1.1455,0.1219,0.0609,5.3193,516.5782,160.045,516.5782,718.323,359.1615,69.527,0.5389,0.3678,0.5389,0.3446,0.1723,31.9749,0.9229,0.9776,0.9229,0.1101,0.0551,5.9668, N/A ,11.1803,11.1803,11.1803,0,0,0,0.8435,97.9994, N/A ,99.9665,0.1933,1.2396,98.4578,0.1385
C:\Users\cnot1\OneDrive - The University of Auckland\PhD\Chapter 2 Resource Selection\Landscape Connectivity cats\Fragstat\Rasters\Cat5.tif ,5, cls_2 ,57.4525,75.0425,1,1.3062,75.0425,12210,159.4828,5.1184,57.4525,57.4525,57.4525,0,0,0,333.7287,333.7287,333.7287,0,0,0,5.1184,5.1184,5.1184,0,0,0,1.2467,1.2467,1.2467,0,0,0,270.8324,270.8324,270.8324,0,0,0,0.4875,0.4875,0.4875,0,0,0,0.9617,0.9617,0.9617,0,0,0, N/A , N/A , N/A , N/A , N/A , N/A , N/A ,0.8901,96.6146, N/A ,99.9113,0.4369,1.7758,97.2579,0.0812
C:\Users\cnot1\OneDrive - The University of Auckland\PhD\Chapter 2 Resource Selection\Landscape Connectivity cats\Fragstat\Rasters\Cat5.tif ,5, cls_1 ,19.1075,24.9575,34,44.4096,7.8794,12210,159.4828,7.5143,0.562,3.6378,0.1825,6.0025,1.3148,233.9475,26.3565,78.5614,20.1797,117.7356,23.3473,88.5828,1.5334,1.9134,1.4603,1.3622,0.3494,22.7851,1.1113,1.1276,1.101,0.23,0.0506,4.5486,1496.0958,688.2114,1409.3643,3701.6575,691.6705,46.2317,0.5865,0.5895,0.5831,0.5628,0.1246,21.2384,0.7909,0.9028,0.8006,0.493,0.0924,11.6891,1.2643,26.5022,30.2456,21.2132,50.208,14.5719,54.9838,0.8995,91.3974, N/A ,96.1104,0.9881,84.3257,92.4558,0.0754
